collection,author,repository,stars,forks,watchers,dependents,commits,branches,packages,releases,contributors,issues_open,issues_closed,pull_requests_open,pull_requests_closed,Rust,Python,JavaScript,C++,Makefile,Shell,Other,TypeScript,HTML,CSS,Ruby,Roff,Swift,Dockerfile,CoffeeScript,Java,GAP,CMake,Go,Emacs Lisp,Vim script,Haskell,Batchfile,PowerShell,Perl,R,Jupyter Notebook,Scala,PostScript,PHP,ActionScript,QML,Objective-C,CartoCSS,C,Objective-C++,Clojure,Erlang,SuperCollider,Gherkin,Vue,PLpgSQL,TSQL,Lua,Groovy,Puppet,C#,Tcl,SaltStack,NSIS,Rich Text Format,Starlark,M,Jsonnet,Hack,GLSL,Kotlin,AppleScript,HLSL,Assembly,xBase,OpenEdge ABL,LilyPond,HiveQL,MLIR,Cuda,XSLT,IDL,Smarty,ASP,VCL,TeX
Learn to Code,freeCodeCamp,freeCodeCamp,311366,24196.0,8400,,25776,5,0,0,4059,218.0,14271.0,92,23917,,,90.0,,,0.0,,,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learn to Code,hello-world,leachim6,4996,1198.0,109,,1344,1,0,0,312,9.0,38.0,1,705,,2.0,,,,,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,44.0,4.0,2.0,2.0,,,,,,,,,
Learn to Code,go,datasciencemasters,15120,5407.0,1600,,296,3,0,0,35,23.0,23.0,54,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learn to Code,project-based-learning,tuvtran,33028,5568.0,1500,,456,1,0,0,58,11.0,15.0,56,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learn to Code,Python-programming-exercises,zhiwehu,9572,4815.0,675,,13,1,0,0,2,38.0,8.0,57,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learn to Code,awesome-for-beginners,MunGell,19985,3069.0,100,,351,1,0,0,196,0.0,58.0,2,585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learn to Code,welcome-to-open,appacademy,1099,45.0,36,,5,1,0,0,0,2.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learn to Code,webgems,webgems,1099,104.0,23,,492,4,0,0,38,16.0,75.0,1,126,,,24.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learn to Code,developer-roadmap,kamranahmedse,110852,17437.0,5900,,314,2,0,3,46,18.0,406.0,2,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Getting started with machine learning,spark,apache,26270,21846.0,2100,,27346,20,0,127,1505,,,211,28494,,7.0,,,,,2.0,,,,,,,,,9.0,,,,,,,,,,2.0,,73.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,
Getting started with machine learning,hadoop,apache,10501,6501.0,100,,23904,279,0,327,279,,,299,1741,,,1.0,2.0,,0.0,0.0,,0.0,,,,,,,92.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Getting started with machine learning,awesome-computer-vision,jbhuang0604,12349,3134.0,1100,,186,1,0,0,23,12.0,1.0,29,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Getting started with machine learning,data,GSA,1570,240.0,132,,416,4,0,0,19,15.0,25.0,1,192,,4.0,,,,6.0,,,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Getting started with machine learning,data,GoogleTrends,3857,416.0,277,,110,3,0,0,6,6.0,0.0,8,12,,,69.0,,,,,,6.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Getting started with machine learning,data,nationalparkservice,984,82.0,59,,3675,1,0,0,23,1.0,4.0,3,15,,,91.0,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Getting started with machine learning,data,fivethirtyeight,13503,7902.0,1400,,1166,1,0,0,40,29.0,73.0,13,74,,13.0,,,,,,,,,,,,,,,,,,,,,,,,15.0,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Getting started with machine learning,medical-data,beamandrew,4257,916.0,324,,107,1,0,0,23,0.0,15.0,0,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Getting started with machine learning,awesome-machine-learning-on-source-code,src-d,4786,713.0,349,,298,1,0,0,38,6.0,23.0,2,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Getting started with machine learning,decisiontree,igrigorik,1197,124.0,40,,71,1,0,2,13,7.0,15.0,3,20,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Getting started with machine learning,awesome-nlp,keon,10464,1918.0,595,,442,3,0,0,101,1.0,48.0,3,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Getting started with machine learning,gym,openai,20905,5974.0,978,,1190,99,0,37,230,105.0,1015.0,25,791,,99.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Getting started with machine learning,awesome-rl,aikorea,6389,1521.0,460,,176,2,0,0,39,3.0,8.0,11,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Getting started with machine learning,Eigentechno,umutisik,597,40.0,15,,2,1,0,0,1,0.0,2.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Getting started with machine learning,tf-idf-similarity,jpmckinney,567,52.0,22,,212,1,0,17,5,1.0,18.0,0,12,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Getting started with machine learning,lightning,scikit-learn-contrib,1355,188.0,39,,693,9,0,3,10,40.0,34.0,11,58,,89.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Getting started with machine learning,draw_convnet,gwding,1669,357.0,42,,27,1,0,0,3,5.0,4.0,0,5,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Getting started with machine learning,scikit-learn,scikit-learn,40963,19810.0,2300,,25574,21,0,111,1671,1564.0,5982.0,787,9074,,97.0,,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Getting started with machine learning,tensorflow,tensorflow,145153,81512.0,8400,,87136,29,0,112,2511,3490.0,21959.0,190,14284,,26.0,,61.0,,,3.0,,3.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,,,,,,,
Getting started with machine learning,Theano,Theano,9157,2518.0,575,,28120,3,0,33,332,568.0,2075.0,102,4003,,94.0,,,,0.0,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
Made in Africa,frontlinesms2,frontlinesms,157,52.0,46,,8971,40,0,43,21,,,4,0,,,10.0,,,2.0,,,1.0,4.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.0,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,
Made in Africa,SMSSync,ushahidi,845,431.0,107,,1816,16,0,44,22,88.0,253.0,4,143,,,1.0,,,0.0,,,2.0,4.0,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
Made in Africa,vumi,praekeltfoundation,360,128.0,70,,7450,175,0,62,26,88.0,154.0,13,820,,99.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Made in Africa,rapidpro,rapidpro,640,307.0,66,,17220,7,0,1480,37,207.0,703.0,5,316,,23.0,60.0,,,,0.0,,10.0,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Made in Africa,pesaPi,pluspeople,309,245.0,89,,70,2,0,0,1,13.0,7.0,10,0,,,,,,,0.0,,,,,,,,,2.0,,,,,,,,,,,,,,65.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,30.0,,,
Made in Africa,junebug,praekeltfoundation,55,17.0,32,,925,117,0,51,10,22.0,9.0,1,146,,99.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Made in Africa,chisimba,chisimba,91,24.0,29,,7441,38,0,0,20,3.0,2.0,2,1,,,33.0,,,,,,33.0,3.0,,,,,,,,,,,,,,,,,,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
Made in Africa,OpenDuka,OpenInstitute,88,41.0,29,,108,6,0,0,5,1.0,0.0,1,5,,,9.0,,,,,,5.0,3.0,,,,,,,,,,,,,,,,,,,,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Made in Africa,GotToVote,CodeForAfrica,132,71.0,41,,85,1,0,0,3,2.0,3.0,0,15,,,81.0,,,,,,15.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Made in Africa,elastic-git,universalcore,103,9.0,6,,517,59,0,40,3,2.0,6.0,1,59,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Made in Africa,smartmin,nyaruka,159,30.0,15,,730,23,0,0,9,5.0,13.0,0,118,,84.0,4.0,,,0.0,,,9.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Made in Africa,utron,gernest,2159,149.0,69,,174,2,0,5,22,6.0,51.0,3,46,,,,,,,0.0,,,,,,,,,,,,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Made in Africa,platform,ushahidi,544,345.0,72,,5661,249,0,100,47,660.0,2402.0,17,895,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,85.0,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Made in Africa,yorubaname-website,Yorubaname,82,40.0,20,,525,5,0,0,6,53.0,24.0,6,9,,,11.0,,,,,,12.0,7.0,,,,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net neutrality,action-center-platform,EFForg,217,54.0,40,,2309,244,0,0,15,85.0,277.0,9,465,,,9.0,,,,0.0,,20.0,12.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
Net neutrality,battleforthenet,fightforthefuture,149,43.0,36,,3904,7,0,2,37,0.0,14.0,3,233,,,23.0,,,0.0,,,47.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net neutrality,battleforthenet-widget,fightforthefuture,583,127.0,55,,295,9,0,1,22,13.0,75.0,3,67,,,53.0,,,,,,21.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net neutrality,call-my-congress,mariechatfield,113,11.0,4,,621,3,0,0,5,0.0,21.0,0,250,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net neutrality,advocacy.mozilla.org,mozilla,96,36.0,45,,1965,44,0,0,66,21.0,77.0,7,440,,,69.0,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net neutrality,NN-blackout,panxzz,57,5.0,1,,59,1,0,0,2,1.0,0.0,0,6,,,64.0,,,,,,35.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net neutrality,fcc_nn_research,j2kao,102,23.0,8,,10,1,0,0,1,0.0,1.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net neutrality,internet_monitor,berkmancenter,81,19.0,16,,690,7,0,38,3,1.0,0.0,0,5,,,0.0,,,,,,77.0,2.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open data,data,GSA,1570,240.0,132,,416,4,0,0,19,15.0,25.0,1,192,,4.0,,,,6.0,,,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open data,congress-legislators,unitedstates,1279,407.0,148,,2086,10,0,0,91,53.0,199.0,8,466,,98.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open data,food-inspections-evaluation,Chicago,281,124.0,40,,268,4,0,4,8,7.0,72.0,0,29,,,,,,,,,95.0,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Open data,open_exoplanet_catalogue,OpenExoplanetCatalogue,676,183.0,86,,4149,2,0,0,30,37.0,370.0,1,698,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open data,opendata.cern.ch,cernopendata,359,106.0,75,,2061,14,0,0,38,125.0,1289.0,7,1422,,40.0,4.0,,,2.0,,,44.0,7.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open data,openaddresses,openaddresses,1954,796.0,193,,8973,57,0,0,143,449.0,1436.0,39,3159,,26.0,57.0,,2.0,13.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open data,openapi-directory,APIs-guru,1945,346.0,107,,2424,4,0,1,19,73.0,570.0,0,51,,,97.0,,,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open source organizations,adobe.github.com,adobe,773,295.0,187,,282,4,0,0,29,9.0,30.0,2,45,,,4.0,,,,,,5.0,90.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open source organizations,cfpb.github.io,cfpb,181,99.0,50,,400,3,0,0,21,5.0,14.0,0,94,,,10.0,,,,,,45.0,44.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open source organizations,netflix.github.com,Netflix,795,328.0,527,,394,11,0,0,48,9.0,8.0,12,109,,,34.0,,,,,,51.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open source organizations,esri.github.io,Esri,340,111.0,124,,298,6,0,3,16,3.0,43.0,3,85,,,74.0,,,,,,8.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open source organizations,square.github.io,square,694,185.0,79,,133,3,0,0,34,,,0,57,,2.0,,,,,,,45.0,49.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open source organizations,twitter.github.io,twitter,1401,492.0,470,,696,3,0,0,20,2.0,22.0,7,32,,7.0,12.0,,,0.0,,,21.0,57.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open source organizations,code.gilt.com,gilt,195,69.0,144,,54,2,0,0,8,,,1,8,,,21.0,,,,,,18.0,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open source organizations,guardian.github.com,guardian,189,52.0,128,,698,2,0,0,37,0.0,1.0,0,43,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open source organizations,yelp.github.io,Yelp,428,91.0,49,,102,4,0,0,8,0.0,2.0,3,25,,,98.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open source organizations,shopify.github.com,Shopify,303,107.0,265,,284,2,0,0,42,0.0,17.0,0,63,,,2.0,,,,,,2.0,93.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open source organizations,sap.github.com,SAP,200,67.0,80,,133,1,0,0,6,1.0,8.0,0,6,,,39.0,,,,,,40.0,14.0,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open source organizations,ibm.github.io,IBM,861,230.0,135,,276,1,0,0,50,0.0,28.0,0,119,,,77.0,,,,,,3.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open source organizations,microsoft.github.io,microsoft,1891,467.0,376,,235,4,0,0,39,0.0,67.0,0,112,,,,,,,,,93.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open source organizations,artsy.github.io,artsy,669,196.0,124,,1647,79,0,0,79,59.0,71.0,8,475,,,1.0,,,,,,9.0,81.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open source organizations,osgeo,OSGeo,104,53.0,19,,288,1,0,0,21,96.0,81.0,3,49,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open source organizations,godaddy.github.io,godaddy,12,3.0,2,,148,4,0,0,31,0.0,0.0,0,1,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open source organizations,cloudflare.github.io,cloudflare,82,18.0,23,,44,1,0,0,9,0.0,1.0,2,13,,,15.0,,,,,,9.0,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open source organizations,eleme.github.io,eleme,34,11.0,61,,30,1,0,0,5,3.0,0.0,0,1,,,,,1.0,,,,38.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open source organizations,didi.github.io,didi,52,17.0,7,,39,7,0,0,4,0.0,1.0,3,13,,,42.0,,,,,,43.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open source organizations,alibaba.github.com,alibaba,138,55.0,51,,11,1,0,0,5,1.0,1.0,3,3,,,0.0,,,,,,21.0,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open source organizations,google.github.io,google,81,48.0,12,,6,1,0,0,2,,,0,1,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open source organizations,proyecto26.github.io,proyecto26,4,,1,,16,1,0,0,1,0.0,0.0,0,0,,,27.0,,,,,,63.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Policies,balanced-employee-ip-agreement,github,1424,117.0,171,,81,2,0,1,7,11.0,27.0,1,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Policies,site-policy,github,630,368.0,260,,310,6,0,4,18,2.0,72.0,3,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Policies,hackdaymanifesto.github.com,hackdaymanifesto,331,141.0,31,,323,2,0,0,76,2.0,10.0,2,125,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Policies,Bike-Share-Data-Best-Practices,BetaNYC,150,40.0,35,,20,1,0,0,5,0.0,0.0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Policies,project-open-data.github.io,project-open-data,953,559.0,180,,999,48,0,0,73,68.0,192.0,4,369,,,30.0,,,0.0,,,35.0,23.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Policies,playbook,usds,1087,329.0,281,,274,8,0,0,29,27.0,57.0,31,85,,,14.0,,,,,,13.0,56.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Policies,policies,catalyzeio,644,296.0,90,,237,10,0,0,20,1.0,13.0,5,45,,,0.0,,,,,,21.0,62.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Policies,open-source-policy,18F,204,78.0,160,,212,6,0,0,27,10.0,27.0,0,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Policies,fitara,WhiteHouse,60,34.0,42,,170,43,0,0,12,0.0,14.0,1,54,,,8.0,,,,0.0,,36.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Policies,https,GSA,186,84.0,51,,595,3,0,1,31,3.0,80.0,0,177,,82.0,1.0,,,,,,6.0,7.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Policies,Policies-and-Guidance,CommerceGov,45,24.0,20,,21,1,0,0,5,14.0,0.0,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Policies,site-policy,github,630,368.0,260,,310,6,0,4,18,2.0,72.0,3,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Policies,medium-policy,Medium,170,54.0,166,,59,5,0,0,8,2.0,0.0,1,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Policies,legalmattic,Automattic,428,153.0,172,,359,6,0,0,18,3.0,13.0,2,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Policies,uscode,divegeek,683,62.0,42,,70,1,0,832,2,5.0,1.0,1,2,,86.0,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Policies,equity,seriesseed,1101,315.0,180,,13,3,0,0,3,6.0,11.0,17,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
